"id","data","coordinates"
71,"{""name"": ""\u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f - \u041f\u043e\u043f\u0435\u0440\u0435\u0447\u043d\u044b\u0439 \u043f\u0440.""}","[39.5378, 52.6137]"
72,"{""name"": ""\u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f - \u0448\u0432\u0435\u0439\u043d\u0430\u044f \u0444\u0438\u0440\u043c\u0430""}","[39.5401, 52.6147]"
73,"{""name"": ""\u041d\u0435\u0432\u0441\u043a\u043e\u0433\u043e - \u041a\u0440\u0443\u043f\u0441\u043a\u043e\u0439""}","[39.6113, 52.5799]"
74,"{""name"": ""\u041d\u0435\u0434\u0435\u043b\u0438\u043d\u0430 - \u041f\u0443\u0448\u043a\u0438\u043d\u0430""}","[39.5797, 52.6007]"
75,"{""name"": ""\u041d\u0435\u0434\u0435\u043b\u0438\u043d\u0430 - \u041c. \u0413\u043e\u0440\u044c\u043a\u043e\u0433\u043e (\u0428\u0430\u0445\u043c\u0430\u0442\u043d\u044b\u0439 \u043a\u043b\u0443\u0431)""}","[39.584156, 52.599224]"
76,"{""name"": ""\u041d\u0435\u0434\u0435\u043b\u0438\u043d\u0430 - \u041e\u041e\u0422 \u041f\u0435\u0442\u0440\u043e\u0432\u0441\u043a\u0438\u0439 \u0440\u044b\u043d\u043e\u043a""}","[39.597148, 52.595493]"
77,"{""name"": ""\u041d\u0435\u0434\u0435\u043b\u0438\u043d\u0430, \u0434. 4 (\u043c\u0430\u0433\u0430\u0437\u0438\u043d \u041b\u0435\u043d\u0442\u0430)""}","[39.598428, 52.595583]"
78,"{""name"": ""\u041e\u043a\u0442\u044f\u0431\u0440\u044c\u0441\u043a\u0438\u0439 \u043c\u043e\u0441\u0442 - \u041e\u041e\u0422 \u0441\u0435\u043b\u043e \u0421\u044b\u0440\u0441\u043a\u043e\u0435 (\u043e\u0431\u044a\u0435\u043a\u0442 \u0441 \u043a\u043d\u043e\u043f\u043a\u043e\u0439 \u0422\u0412\u041f)""}","[39.538427, 52.575086]"
79,"{""name"": ""\u041e\u043a\u0442\u044f\u0431\u0440\u044c\u0441\u043a\u0438\u0439 \u043c\u043e\u0441\u0442 - \u041c\u043e\u0441\u0442 (\u043e\u0431\u044a\u0435\u043a\u0442 \u0441 \u043a\u043d\u043e\u043f\u043a\u043e\u0439 \u0422\u0412\u041f)""}","[39.549838, 52.564783]"
80,"{""name"": ""\u041e\u043a\u0442\u044f\u0431\u0440\u044c\u0441\u043a\u0438\u0439 \u043c\u043e\u0441\u0442 - \u0420\u0435\u0447\u043d\u0430\u044f (\u0410\u0417\u0421 \u041b\u0443\u043a\u043e\u0439\u043b)""}","[39.563303, 52.552475]"
81,"{""name"": ""\u041e\u043f\u044b\u0442\u043d\u0430\u044f - \u041b\u0435\u0431\u0435\u0434\u044f\u043d\u0441\u043a\u0430\u044f \u0442\u0440\u0430\u0441\u0441\u0430 (\u041b\u0435\u0431\u0435\u0434\u044f\u043d\u0441\u043a\u0430\u044f \u0442\u0440\u0430\u0441\u0441\u0430 - \u041e\u043f\u044b\u0442\u043d\u0430\u044f)""}","[39.535979, 52.629528]"
82,"{""name"": ""\u041f\u0430\u043f\u0438\u043d\u0430 - \u0414\u043e\u0432\u0430\u0442\u043e\u0440\u0430""}","[39.559307, 52.597487]"
83,"{""name"": ""\u041f\u0430\u043f\u0438\u043d\u0430 - \u041c\u0435\u0445\u0430\u043d\u0438\u0437\u0430\u0442\u043e\u0440\u043e\u0432""}","[39.553317, 52.59304]"
84,"{""name"": ""\u041f\u0430\u043f\u0438\u043d\u0430 - \u0426\u0435\u0440\u043a\u043e\u0432\u044c""}","[39.5681, 52.6058]"
85,"{""name"": ""\u041f\u0430\u043f\u0438\u043d\u0430 - \u042e. \u041d\u0430\u0442\u0443\u0440\u0430\u043b\u0438\u0441\u0442\u043e\u0432""}","[39.561631, 52.599849]"
86,"{""name"": ""\u041f\u0435\u0440\u0432\u043e\u043c\u0430\u0439\u0441\u043a\u0430\u044f - \u0434.121 (\u0422\u0426 \u041c\u0435\u0440\u043a\u0443\u0440\u0438\u0439)""}","[39.575456, 52.602662]"
87,"{""name"": ""\u041f\u0435\u0440\u0432\u043e\u043c\u0430\u0439\u0441\u043a\u0430\u044f - \u041f\u0443\u0448\u043a\u0438\u043d\u0430""}","[39.580286, 52.602739]"
88,"{""name"": ""\u041f\u0435\u0440\u0432\u043e\u043c\u0430\u0439\u0441\u043a\u0430\u044f - \u041c. \u0413\u043e\u0440\u044c\u043a\u043e\u0433\u043e""}","[39.584767, 52.602879]"
89,"{""name"": ""\u041f\u0435\u0440\u0432\u043e\u043c\u0430\u0439\u0441\u043a\u0430\u044f - \u0424\u0440\u0443\u043d\u0437\u0435""}","[39.593582, 52.604362]"
90,"{""name"": ""\u043f\u0440. \u041c\u0438\u0440\u0430 - 7 \u0448\u043a\u043e\u043b\u0430""}","[39.617, 52.5864]"
91,"{""name"": ""\u043f\u0440. \u041c\u0438\u0440\u0430 - \u043f\u043b. \u041c\u0438\u0440\u0430 (\u043c\u0430\u0433\u0430\u0437\u0438\u043d \""\u041e\u0434\u0435\u0436\u0434\u0430\"")""}","[39.617047, 52.586391]"
92,"{""name"": ""\u043f\u0440. \u041c\u0438\u0440\u0430 - \u0434.16 (\u043f\u0440.\u041c\u0438\u0440\u0430 - \u0410\u0441\u0442\u0440\u043e\u0432\u0441\u043a\u043e\u0433\u043e)""}","[39.6176, 52.585]"
93,"{""name"": ""\u043f\u0440. \u041c\u0438\u0440\u0430 - \u041d\u0435\u0432\u0441\u043a\u043e\u0433\u043e (\u0422\u0412\u041f)""}","[39.6194, 52.5809]"
94,"{""name"": ""\u043f\u0440. \u041c\u0438\u0440\u0430 - \u0420\u0430\u0439\u0438\u0441\u043f\u043e\u043b\u043a\u043e\u043c (\u0443\u043b. \u041e\u0441\u0438\u043f\u0435\u043d\u043a\u043e) (\u0422\u0412\u041f)""}","[39.6202, 52.5788]"
95,"{""name"": ""\u043f\u0440. \u041c\u0438\u0440\u0430 - \u041f\u0440\u043e\u043a\u0430\u0442\u043d\u0430\u044f (\u0422\u0412\u041f)""}","[39.6207, 52.5775]"
96,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u043f\u0440. 60 \u043b\u0435\u0442 \u0421\u0421\u0421\u0420""}","[39.541228, 52.582369]"
97,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u0410\u0432\u0442\u043e\u0432\u043e\u043a\u0437\u0430\u043b""}","[39.54826, 52.586218]"
98,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u0411\u0443\u0434\u0435\u043d\u043d\u043e\u0433\u043e (\u043c\u0435\u043b\u044c\u043d\u0438\u0446\u0430)""}","[39.544693, 52.58386]"
99,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u0414\u043e\u0432\u0430\u0442\u043e\u0440\u0430""}","[39.564136, 52.59489]"
100,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u041a\u043e\u043b\u044c\u0446\u0435\u0432\u0430\u044f""}","[39.5526, 52.5886]"
101,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u041c\u0435\u0445\u0430\u043d\u0438\u0437\u0430\u0442\u043e\u0440\u043e\u0432""}","[39.557082, 52.590742]"
102,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u041d\u0435\u0434\u0435\u043b\u0438\u043d\u0430""}","[39.573176, 52.602156]"
103,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u041e\u041e\u0422 \""\u0410\u0432\u0442\u043e\u043f\u0430\u0440\u043a\""""}","[39.558698, 52.591143]"
